path	class
src/Armada.Dashboard/src/pages/Docks.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Doctor.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Endpoints.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/EnvironmentDetail.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Environments.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Events.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/FleetDetail.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Fleets.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Harbors.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/History.test.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/History.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Inbox.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/IncidentDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Incidents.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Jobs.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Memories.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/MergeQueue.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/MergeQueueDetail.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/MissionDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Missions.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/MissionsHub.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Notifications.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/ObjectiveDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Objectives.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/PersonaDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Personas.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/PipelineDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Pipelines.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Planning.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/PlaybookDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Playbooks.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/ProjectProfileDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/ProjectProfiles.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/PromptTemplateDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/PromptTemplates.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/ReleaseDetail.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Releases.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/RequestHistory.test.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/RequestHistory.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/RunbookDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Runbooks.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Server.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/ServerHub.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Settings.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Signals.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/SkillDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Skills.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/TokenUsage.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/VesselDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Vessels.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/VesselsHub.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/VoyageDetail.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/Voyages.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/WorkflowProfileDetail.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/WorkflowProfiles.tsx	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/Workspace.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/admin/Credentials.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/admin/Tenants.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/admin/Users.tsx	same blob at both tips; retain
src/Armada.Dashboard/src/pages/coordination/coordinationUtils.test.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/pages/coordination/coordinationUtils.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/test/setup.ts	direct-tip delta classified; runtime verification pending
src/Armada.Dashboard/src/types/models.ts	direct-tip delta classified; runtime verification pending
